Price,z_ret_1,z_ret_2,z_ret_5,z_vol_20,z_ma_10,z_ma_20,z_ma_gap,z_rsi_14,z_vol_z,z_dow,z_news_pc1,z_news_pc2,z_news_pc3,z_news_pc4,z_news_pc5,z_news_pc6,z_news_pc7,z_news_pc8,z_news_pc9,z_news_pc10,z_news_pc11,z_news_pc12,z_news_pc13,z_news_pc14,z_news_pc15,z_news_pc16,z_news_pc17,z_news_pc18,z_news_pc19,z_news_pc20,z_news_pc21,z_news_pc22,z_news_pc23,z_news_pc24,z_news_pc25,z_news_pc26,z_news_pc27,z_news_pc28,target_h1,target_h5,target_h20,Symbol
2008-03-18,3.158311066204494,-1.5296668487739853,0.018212962322880607,0.7728922302415349,-0.821171596877937,-0.7838039021204687,-0.06281766383580031,-0.932709695519932,0.8641799784898803,-0.729506869089353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0250820961315056,0.0017150192307617,0.0287482137403172,SPY
2008-03-19,-1.9940500383708057,1.7189466614580902,0.2296697413525067,0.8821665173700713,-0.826353466450374,-0.7879577071038548,-0.9290083931127432,-1.1068771460692863,0.9450725413112518,-0.01419274064376167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0183530898063883,0.0236392449807993,0.0552911652528846,SPY
2008-03-20,1.4078068022999861,0.8581343694737846,-0.3849924938928188,0.9487841972119236,-0.8238822676646942,-0.7894828572287327,-0.2094932707924588,-0.5232623182146176,-0.009184651617267612,0.7011213878018294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0197909690064319,-0.0043248023415785,0.0473179876726304,SPY
2008-03-24,1.5204219341822496,-0.4310603703907811,0.2477425098743342,1.0175461110871398,-0.8155011566044068,-0.7896556930342699,0.5530658273014427,-0.21292414694401104,-0.3931994080600259,-1.4448209975349442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009642180540421,-0.0206242107736791,0.0280324262432287,SPY
2008-03-25,0.04590513099487361,2.157244539139012,1.6351520279965874,0.9868192022789218,-0.8044026738198654,-0.7910000804107715,0.6168899285406025,-0.14478763906566874,-0.5901797645552858,-0.729506869089353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0123111615045949,0.0129669609604956,0.0226557497651809,SPY
2008-03-26,-0.9938265931566969,1.154244142588645,2.070971544319323,0.9961658653512993,-0.80254335242317,-0.7943383981858465,0.2070848080028637,-0.4011368753201961,-0.571480440739993,-0.01419274064376167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.003157870381468,0.0259371978027909,0.0333708457328176,SPY
2008-03-27,-0.27693807640477996,-0.6974257122037999,-0.006333208983785494,0.996469168364895,-0.7994764780457412,-0.7978859303486018,0.1551486983817009,-0.14708564643960545,-0.3077873943803804,0.7011213878018294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0096109575159895,0.0315788894826898,0.0408757755367599,SPY
2008-03-28,-0.7823458037575659,-0.9351902086194196,0.8527338868538845,0.9958614458173508,-0.7987219776513862,-0.801378795847728,-0.1439700894871408,-0.13843222252989415,-0.7997252839458424,1.416435516247421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034915605743313,0.0400945191624693,0.0596980585058366,SPY
2008-03-31,0.24384735814816344,-0.7794408471938997,-0.2429943361170485,0.9123649657687252,-0.7942732944584953,-0.8022664474778393,0.006394588695099889,0.12003695844866287,-0.9381304597335232,-1.4448209975349442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0345553897882169,0.0371145447241856,0.0564214813827463,SPY
2008-04-01,2.6767758152701298,-0.3958977409770642,-0.8816616088079748,1.1258940511440014,-0.7810066179563738,-0.7994579545492324,1.2927890152433426,0.12594043434777835,-0.03088411433821081,-0.729506869089353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006590753377002,0.0015365732034604,0.0179192463605639,SPY
