fold,horizon,hybrid_rmse,hybrid_mae,hybrid_dir_acc,ridge_rmse,ridge_dir_acc,transformer_rmse,transformer_dir_acc
0,target_h1,0.006556230339498267,0.004687997374916255,0.49206349206349204,0.009464900953527847,0.5158730158730159,0.006719722819742596,0.4642857142857143
0,target_h5,0.012395940027881452,0.009540864099056773,0.5674603174603174,0.019498991969957316,0.5396825396825397,0.012383555640506623,0.5952380952380952
0,target_h20,0.03698277825531759,0.02846935418836014,0.5119047619047619,0.09703352757874824,0.5317460317460317,0.02733829626670209,0.48412698412698413
1,target_h1,0.008836403675271725,0.005752616235083304,0.4523809523809524,0.021617570852961523,0.5793650793650794,0.007559511240095188,0.4365079365079365
1,target_h5,0.02040441109191935,0.013806594633882863,0.42063492063492064,0.04645583090248912,0.4166666666666667,0.016815061701891284,0.5634920634920635
1,target_h20,0.03112467918995723,0.025055818273690612,0.5476190476190477,0.05457427191386806,0.4603174603174603,0.03475794029039678,0.5
2,target_h1,0.0101471533650055,0.007029408832279087,0.5396825396825397,0.013023410197767926,0.5476190476190477,0.010606936963327087,0.5158730158730159
2,target_h5,0.021705862047433702,0.015555478070960204,0.5753968253968254,0.029521547744603697,0.5714285714285714,0.022347154925265105,0.4880952380952381
2,target_h20,0.050188412557704586,0.0374104585328447,0.5634920634920635,0.11717458153712917,0.46825396825396826,0.043498797724262926,0.623015873015873
3,target_h1,0.01761294400653734,0.009321133443099075,0.5198412698412699,0.019406770072002113,0.4880952380952381,0.018677239130702704,0.5317460317460317
3,target_h5,0.03853586623977397,0.02125002926406195,0.6309523809523809,0.04877395176193791,0.4880952380952381,0.03775759534716625,0.6309523809523809
3,target_h20,0.08422444880372962,0.05346681647084571,0.5793650793650794,0.12430613821496354,0.6031746031746031,0.08019015652144088,0.5317460317460317
4,target_h1,0.02049590850879798,0.012772044577560473,0.49603174603174605,0.0565376725942938,0.49206349206349204,0.021244950384975606,0.49603174603174605
4,target_h5,0.04969471548199943,0.03116033535199176,0.4603174603174603,0.2008254491540096,0.5119047619047619,0.029934449542654982,0.42857142857142855
4,target_h20,0.09505830937655463,0.07659112655272751,0.31746031746031744,0.34251251235798436,0.4642857142857143,0.06274616290035412,0.3253968253968254
5,target_h1,0.010584920681376833,0.008119065642698967,0.4801587301587302,0.011442784115752917,0.4801587301587302,0.010006141033452251,0.4722222222222222
5,target_h5,0.023296438171444795,0.01801260031165231,0.503968253968254,0.049288272187737174,0.4523809523809524,0.02083075484806984,0.5753968253968254
5,target_h20,0.054259754596961515,0.047338529359609215,0.36507936507936506,0.06207936470038933,0.46825396825396826,0.04604118249274905,0.4722222222222222
6,target_h1,0.016798202232284933,0.012977624226920512,0.5198412698412699,0.03833018174838637,0.5714285714285714,0.016864635151580067,0.4801587301587302
6,target_h5,0.05087109409681779,0.03505979665010054,0.46825396825396826,0.15522261692878,0.4880952380952381,0.032770488056632685,0.5515873015873016
6,target_h20,0.1289887763238222,0.07941537568676484,0.4444444444444444,0.37900654741865514,0.4444444444444444,0.06622116883150422,0.5119047619047619
7,target_h1,0.008932346776712303,0.006933884199652668,0.4603174603174603,0.020418307871957607,0.5119047619047619,0.009092991972888289,0.4365079365079365
7,target_h5,0.02147403245604724,0.0177228022644968,0.376984126984127,0.054048603446975665,0.5873015873015873,0.027395409278352698,0.32936507936507936
7,target_h20,0.053897625141576685,0.04491615355742862,0.3055555555555556,0.14066673785005968,0.6785714285714286,0.06107683967523026,0.2619047619047619
8,target_h1,0.009096914969579165,0.007055455683322899,0.44841269841269843,0.011767734598839825,0.47619047619047616,0.008991083125053803,0.4603174603174603
8,target_h5,0.020376934001791937,0.016230004459754883,0.48412698412698413,0.025016858324778804,0.4126984126984127,0.020307535596800673,0.503968253968254
8,target_h20,0.04362324133710744,0.038276253435437044,0.3492063492063492,0.04769597109114897,0.373015873015873,0.03900366812023585,0.5158730158730159
