target,rmse,mae,r2,dir_acc
target_h1,0.006358866119224392,0.004507755168643842,-0.011083579428854629,0.5238095238095238
target_h5,0.0130127642055258,0.010019997206335497,-0.10422365552437318,0.47619047619047616
target_h20,0.02345107386816557,0.018768449196606477,-0.2728231631167566,0.5555555555555556
