Price,Symbol,Open,High,Low,Close,PX,Volume,ret_1,ret_2,ret_5,vol_20,ma_10,ma_20,ma_gap,rsi_14,vol_z,dow,target_h1,target_h5,target_h20
2006-03-16,GSPC,1303.02001953125,1310.449951171875,1303.02001953125,1305.3299560546875,1305.3299560546875,2292180000,0.0017711864963931845,0.014603212157219048,0.01902063464811743,0.08767298742970059,1286.3449951171874,1287.4075073242188,0.013921348623886054,59.242004104025405,0.1622209661822767,3,0.0014698453814148138,-0.002807759504248608,-0.012496037445648867
2006-03-17,GSPC,1305.3299560546875,1309.7900390625,1305.3199462890625,1307.25,1307.25,2549620000,0.0014698453814148138,0.006031942076989871,0.025684597874208848,0.08448166589356432,1288.3469970703125,1288.301007080078,0.01470851362824721,57.885900381681076,0.9226344576399879,4,-0.001661386180892066,-0.0032948071401319723,-0.0169102335601794
2006-03-20,GSPC,1307.25,1310.0,1303.5899658203125,1305.0799560546875,1305.0799560546875,1976830000,-0.001661386180892066,0.0032410318778079983,0.01995682176206426,0.08448177047697487,1291.0289916992188,1289.1930053710937,0.012323174743738896,66.96771479365424,-0.8084643190710356,0,-0.006033101043218636,-0.0026623594142494156,0.0016843572667388784
2006-03-21,GSPC,1305.0799560546875,1310.8800048828125,1295.8199462890625,1297.22998046875,1297.22998046875,2147370000,-0.006033101043218636,-0.00019154079947725222,0.01618285785413498,0.08673456659241086,1293.1639892578125,1289.9030029296875,0.005680254656684314,54.32615334701622,-0.29764151991010224,1,0.006002514715950369,-0.0030882570967527556,0.009742534811763015
2006-03-22,GSPC,1297.22998046875,1305.969970703125,1295.81005859375,1305.0400390625,1305.0400390625,2039810000,0.006002514715950369,-0.007694487224110702,-0.000192699765706017,0.08531002034684576,1295.82099609375,1290.521502685547,0.011250131320354129,60.60849409277271,-0.6352119194558026,2,-0.0025856323775030887,-0.001648836323736802,0.004907269068088915
2006-03-23,GSPC,1305.0400390625,1305.0400390625,1298.1099853515625,1301.6700439453125,1301.6700439453125,1980940000,-0.0025856323775030887,-3.0586327268267155e-05,0.001549059369647665,0.08462072553336149,1298.7650024414063,1291.2155029296875,0.008096666274455488,59.45030030245946,-0.9143839647815347,3,0.0009827977455314496,-0.0010915355293947826,0.007355692540723879
2006-03-24,GSPC,1301.6700439453125,1306.530029296875,1298.8900146484375,1302.949951171875,1302.949951171875,2326070000,0.0009827977455314496,0.00341688233844728,-0.002807759504248608,0.08459350482339101,1300.9179931640624,1291.8914978027344,0.008559893294405096,67.96678463309598,0.18344228242350993,4,-0.0010289384550095093,-0.006220586704768216,0.003952449214167153
2006-03-27,GSPC,1302.949951171875,1303.739990234375,1299.0899658203125,1301.6099853515625,1301.6099853515625,2029700000,-0.0010289384550095093,-0.0016028346319716391,-0.0032948071401319723,0.0839365184904906,1302.6659912109376,1292.2659973144532,0.007230700224665654,69.01138626720929,-0.9390260656249424,0,-0.006458998725721976,-0.0029236748200336393,9.987507184217037e-05
2006-03-28,GSPC,1301.6099853515625,1306.239990234375,1291.8399658203125,1293.22998046875,1293.22998046875,2148580000,-0.006458998725721976,-4.6140709478059705e-05,-0.0026623594142494156,0.07815135059746742,1302.2409912109374,1292.8944946289062,0.000259484313095637,60.04629568084229,-0.6051179434658667,1,0.0074419354889663225,0.009772522006144868,0.009374244094710882
2006-03-29,GSPC,1293.22998046875,1305.5999755859375,1293.22998046875,1302.8900146484375,1302.8900146484375,2143540000,0.0074419354889663225,-0.007487937180731485,-0.0030882570967527556,0.07716321846179854,1302.2279907226562,1293.4769958496095,0.007277298961660517,69.9401874560377,-0.7551456009203052,2,-0.0020283315831610693,0.006632427841180899,0.005228466286284039
2006-03-30,GSPC,1302.8900146484375,1310.1500244140625,1296.719970703125,1300.25,1300.25,2294560000,-0.0020283315831610693,0.0009829367632443464,-0.001648836323736802,0.07731919641586334,1301.7199951171874,1294.0324951171874,0.004804751740217661,63.38686749643752,-0.03974729144623208,3,-0.004146253429841984,0.006737520308027989,0.007936112839384002
2006-03-31,GSPC,1300.25,1303.0,1294.8699951171875,1294.8699951171875,1294.8699951171875,2236710000,-0.004146253429841984,0.005413603905805253,-0.0010915355293947826,0.0787573585015955,1300.4819946289062,1294.4144958496095,0.00035189598775242636,57.3561576947774,-0.28994376211906436,4,0.0022679734297250675,0.00048642077882465884,0.007938278912536845
2006-04-03,GSPC,1302.8800048828125,1309.18994140625,1296.6500244140625,1297.81005859375,1297.81005859375,2494080000,0.0022679734297250675,-0.006174585013003053,-0.006220586704768216,0.07411357011420024,1299.7550048828125,1295.3919982910156,0.0018666629915302657,50.263682426502434,0.9106517078127118,0,0.006237198100456531,-0.000917398839352046,0.011796218185857299
2006-04-04,GSPC,1297.81005859375,1307.550048828125,1294.7099609375,1305.9300537109375,1305.9300537109375,2147660000,0.006237198100456531,-0.0018782800001169164,-0.0029236748200336393,0.0758691449551274,1300.6250122070312,1296.8945007324219,0.006967068619238237,52.232647090225576,-0.6869747461816842,1,0.004301841324002353,-0.014935751066187386,0.001675516442051439
2006-04-05,GSPC,1305.9300537109375,1312.81005859375,1304.8199462890625,1311.56005859375,1311.56005859375,2420020000,0.004301841324002353,0.008505171530181599,0.009772522006144868,0.07663805487694121,1301.2770141601563,1298.549005126953,0.010019686138471817,54.548176612229106,0.5765412881890669,2,-0.0019232391163139795,-0.018033525841852693,0.0005259080548851713
2006-04-06,GSPC,1311.56005859375,1311.989990234375,1302.43994140625,1309.0400390625,1309.0400390625,2281680000,-0.0019232391163139795,0.010539039424458885,0.006632427841180899,0.07415152760441826,1302.014013671875,1300.3895080566406,0.006652261458789388,51.29543840307004,-0.06187982922928405,3,-0.010397352959045314,-0.015334262720033465,0.012691813293884913
2006-04-07,GSPC,1309.0400390625,1314.0699462890625,1294.1800537109375,1295.5,1295.5,2082470000,-0.010397352959045314,0.002378602207688374,0.006737520308027989,0.08188696043827139,1301.2690185546876,1301.093505859375,-0.00429908060733919,44.04676474559608,-0.9616463870612031,4,0.0008641538115483627,-0.00788126049410387,0.022259127518802657
2006-04-10,GSPC,1295.510009765625,1300.739990234375,1293.1700439453125,1296.6199951171875,1296.6199951171875,1898320000,0.0008641538115483627,-0.012320592075359293,0.00048642077882465884,0.08168993968676003,1300.77001953125,1301.7180053710938,-0.003916370698470062,49.586339004995054,-1.7375825724917728,0,-0.007781154126378809,0.00818779034037398,0.021757250456560406
2006-04-11,GSPC,1296.5999755859375,1300.7099609375,1282.9599609375,1286.5699462890625,1286.5699462890625,2232880000,-0.007781154126378809,-0.009533199147496951,-0.000917398839352046,0.07792570770441716,1300.1040161132812,1301.1725036621094,-0.011222614474213466,37.843839530037094,-0.22667329495153546,1,0.001204066548337046,0.01799402096855829,0.027808760859310944
2006-04-12,GSPC,1286.5699462890625,1290.9300537109375,1286.449951171875,1288.1199951171875,1288.1199951171875,1938100000,0.001204066548337046,-0.006917000314830446,-0.014935751066187386,0.07622620726918727,1298.6270141601562,1300.4275024414062,-0.009464201042436282,40.86310043164899,-1.5143735753106908,2,0.0007760240055052492,0.01795720339249751,0.01372401963261538
2006-04-13,GSPC,1288.1199951171875,1292.0899658203125,1283.3699951171875,1289.1199951171875,1289.1199951171875,1891940000,0.0007760240055052492,-0.006577087578041763,-0.018033525841852693,0.07590110204210092,1297.514013671875,1299.6170043945312,-0.008077002102811148,40.639020400069406,-1.6543396172696914,3,-0.0029443507331157193,0.017043970482124138,0.001643178166013115
2006-04-17,GSPC,1289.1199951171875,1292.449951171875,1280.739990234375,1285.3299560546875,1285.3299560546875,1794650000,-0.0029443507331157193,0.0019800905538422953,-0.015334262720033465,0.07590271869416439,1296.560009765625,1298.5210021972657,-0.010158515819349234,39.33440602927628,-1.9697813488864138,0,0.016933204646026212,0.01756787563421458,0.007109059683531704
2006-04-18,GSPC,1285.3299560546875,1309.02001953125,1285.3299560546875,1307.280029296875,1307.280029296875,2595440000,0.016933204646026212,-0.00216832672761047,-0.00788126049410387,0.09856650983351621,1297.5070068359375,1298.631005859375,0.006660108528501185,57.81510140117493,1.4717246085595435,1,0.0020250765018055006,-0.004246841609146124,-0.011695376235123511
2006-04-19,GSPC,1307.6500244140625,1310.3900146484375,1302.7900390625,1309.9300537109375,1309.9300537109375,2447310000,0.0020250765018055006,0.013988853912910493,0.00818779034037398,0.09605169529474121,1297.9070068359374,1299.2660095214844,0.008207745073990358,54.24710879644631,0.8066950279016575,2,0.0011672489722762691,-0.003456547813804889,-0.030704946719474435
2006-04-20,GSPC,1309.9300537109375,1318.1600341796875,1306.3800048828125,1311.4599609375,1311.4599609375,2512920000,0.0011672489722762691,0.018958281147831713,0.01799402096855829,0.09387811284418664,1297.8969970703124,1299.5870056152344,0.009135944935556584,56.854546160253896,1.1086139259798988,3,-0.00013720890486812465,-0.001327639105541678,-0.03859374610035271
2006-04-21,GSPC,1311.4599609375,1317.6700439453125,1306.5899658203125,1311.280029296875,1311.280029296875,2392630000,-0.00013720890486812465,0.0031923254740817697,0.01795720339249751,0.09329934474247195,1298.12099609375,1300.0675048828125,0.008624570933394082,60.71568066345376,0.6091292768249984,4,-0.0024204455810252767,-0.00051111523073466,-0.03432817958052237
2006-04-24,GSPC,1311.280029296875,1311.280029296875,1303.7900390625,1308.1099853515625,1308.1099853515625,2117330000,-0.0024204455810252767,0.0010300400674081445,0.017043970482124138,0.09378262701020737,1299.3819946289063,1300.325506591797,0.005986561611152963,56.70566656123291,-0.6008793943095747,0,-0.004881512597334492,-0.0022347570063985245,-0.0358301486253092
2006-04-25,GSPC,1308.1099853515625,1310.7900390625,1299.1700439453125,1301.739990234375,1301.739990234375,2366380000,-0.004881512597334492,-0.0025576544858934014,0.01756787563421458,0.09543344463964713,1299.893994140625,1300.3320068359376,0.001082787619650638,47.208491715340166,0.6185396140501607,1,0.0028153702971467354,0.00877266829398149,-0.03530811363862352
2006-04-26,GSPC,1301.739990234375,1310.969970703125,1301.739990234375,1305.4100341796875,1305.4100341796875,2502690000,0.0028153702971467354,-0.007301958178359769,-0.004246841609146124,0.09274200597677375,1301.7780029296875,1300.9410095214844,0.003435224676211046,45.792853504354866,1.2485299715205431,2,0.00329615768053948,0.0020737943534854253,-0.03654108071776285
2006-04-27,GSPC,1305.4100341796875,1315.0,1295.5699462890625,1309.719970703125,1309.719970703125,2772010000,0.00329615768053948,-0.0020661423001877566,-0.003456547813804889,0.08972614477224833,1303.9380004882812,1301.2825073242188,0.00648395973312188,50.454013413365765,2.508141552924278,3,0.0006793149699388934,0.0019298696097820311,-0.02853129808699073
2006-04-28,GSPC,1309.719970703125,1316.0400390625,1306.1600341796875,1310.6099853515625,1310.6099853515625,2419920000,0.0006793149699388934,0.006111527977686215,-0.001327639105541678,0.0893235521331977,1306.0869995117187,1301.8005065917969,0.006767149586405896,62.140414955991595,0.8631528718938,4,-0.004144087356689141,0.0114932207625289,-0.023507569691209262
2006-05-01,GSPC,1310.6099853515625,1317.2099609375,1303.4599609375,1305.18994140625,1305.18994140625,2437040000,-0.004144087356689141,0.003975472650478373,-0.00051111523073466,0.08932209127641359,1308.072998046875,1302.31650390625,0.0022064048880445775,56.44064842252048,0.9691986451615086,0,0.006125912703045522,0.014807269385090471,-0.03534004199204066
2006-05-02,GSPC,1305.18994140625,1313.6600341796875,1305.18994140625,1313.2099609375,1313.2099609375,2403470000,0.006125912703045522,-0.003464772386750248,-0.0022347570063985245,0.0914190844886318,1308.6659912109376,1303.0864990234375,0.007768833397974184,70.65113506250178,0.7907937678666765,1,-0.0038835036433493286,0.009043633431351061,-0.0333867546666724
2006-05-03,GSPC,1313.2099609375,1313.469970703125,1303.9200439453125,1308.1199951171875,1308.1199951171875,2395230000,-0.0038835036433493286,0.0019818253463563806,0.00877266829398149,0.0901771811871453,1308.4849853515625,1303.19599609375,0.0037784025105946917,64.6972284816213,0.7276905389834426,2,0.0031522329368360857,0.011197493351072119,-0.01727992365346509
2006-05-04,GSPC,1307.8499755859375,1315.1400146484375,1307.8499755859375,1312.25,1312.25,2431450000,0.0031522329368360857,0.002242409059696193,0.0020737943534854253,0.08955415556609388,1308.5639892578124,1303.2304931640624,0.006920883821586621,66.24981776081643,0.8950749042877448,3,0.010242666122685762,-0.004835414264122484,-0.018481823342762382
2006-05-05,GSPC,1312.25,1326.530029296875,1312.25,1325.760009765625,1325.760009765625,2294760000,0.010242666122685762,-0.0007312707065132429,0.0019298696097820311,0.09620663228140124,1310.0119873046874,1304.0664916992187,0.016635285243883136,74.99075682372772,0.2478511955725335,4,-0.0008300387341275695,-0.026382897847905262,-0.04668451148278674
2006-05-08,GSPC,1325.760009765625,1326.699951171875,1322.8699951171875,1324.6600341796875,1324.6600341796875,2151300000,-0.0008300387341275695,0.013394899059521848,0.0114932207625289,0.08723124325395056,1311.6669921875,1305.5244934082032,0.014657358684653232,64.47370828733325,-0.4324259759954497,0,0.00036227674930611187,-0.023031328329374823,-0.046993250059402136
2006-05-09,GSPC,1324.6600341796875,1326.5999755859375,1322.47998046875,1325.1400146484375,1325.1400146484375,2157290000,0.00036227674930611187,0.009412627388558192,0.014807269385090471,0.08726841233212014,1314.0069946289063,1306.9504943847655,0.013917528125068301,63.141519184930495,-0.3917668770347505,1,-0.0017296437236282713,-0.02526483635130994,-0.053466618185717074
2006-05-10,GSPC,1324.5699462890625,1325.510009765625,1317.43994140625,1322.8499755859375,1322.8499755859375,2268550000,-0.0017296437236282713,-0.0004677619848214576,0.009043633431351061,0.08156902058835941,1315.7509887695312,1308.7644958496094,0.01076242500541258,59.71346895774906,0.1247789879514695,2,-0.012880674678358517,-0.04051968661022709,-0.05032092601573712
2006-05-11,GSPC,1322.6300048828125,1322.6300048828125,1303.449951171875,1305.9200439453125,1305.9200439453125,2531520000,-0.012880674678358517,-0.0013673669743221595,0.011197493351072119,0.09603501305840534,1315.37099609375,1309.6544982910157,-0.00285148056267992,46.44469023324205,1.437552122116301,3,-0.011304817461097016,-0.03436056234047058,-0.04192590730754375
